Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy,Label
400450,1,0.86,-3.78,45,No Fall
400650,1,0.48,-3.71,65,No Fall
400850,1,0.03,-3.66,50,Fall
401050,1,0.42,0.02,92,Fall
401250,1,0.81,0.0,48,Fall
401450,1,0.9,-1.31,58,Fall
401650,1,0.85,0.02,79,Fall
401850,1,0.79,0.08,72,Fall
402050,1,0.74,-0.21,59,Fall
402250,1,0.72,0.1,86,Fall
402450,1,0.69,0.03,100,Fall
402650,1,0.66,0.05,57,Fall
402850,1,0.64,0.01,72,Fall
403050,1,0.62,0.03,73,Fall
403250,1,0.59,0.02,48,Fall
403450,1,0.74,0.02,53,Fall
403650,1,0.88,0.07,79,Fall
403850,1,1.03,0.07,71,Fall
404050,1,1.17,0.1,93,No Fall
404250,1,1.32,-3.83,85,No Fall
404450,1,0.75,-1.81,44,No Fall
404650,1,0.7,-1.85,85,No Fall
404850,1,0.46,-2.48,58,No Fall
405050,1,0.17,-2.82,50,No Fall
405250,1,0.88,0.07,87,No Fall
405450,1,1.6,-3.84,85,No Fall
405650,1,1.16,-3.81,45,No Fall
405850,1,0.99,-3.73,40,No Fall
406050,1,0.65,-3.67,82,No Fall
406250,1,0.26,-3.62,52,No Fall
406450,1,1.5,-3.84,72,No Fall
406650,1,1.12,-3.81,61,No Fall
406850,1,0.75,-3.77,41,No Fall
407050,1,0.39,-3.7,41,No Fall
407250,1,0.98,0.03,87,No Fall
407450,1,1.57,-3.84,58,No Fall
407650,1,1.18,-3.81,73,No Fall
407850,1,0.65,-3.76,50,No Fall
408050,1,0.34,-3.67,74,No Fall
408250,1,2.04,-3.84,100,No Fall
408450,1,1.47,-3.83,41,No Fall
408650,1,1.05,-3.76,40,No Fall
408850,1,0.86,-3.67,100,No Fall
409050,1,0.45,-3.64,72,No Fall
409250,1,0.96,0.05,64,No Fall
409450,1,1.47,-3.83,72,No Fall
409650,1,1.11,-3.81,58,No Fall
409850,1,0.65,-3.76,52,No Fall
410050,1,0.28,-3.69,82,No Fall
410250,1,1.49,-3.84,72,No Fall
410450,1,1.48,-3.8,82,No Fall
410650,1,0.96,-3.78,85,No Fall
410850,1,0.54,-3.72,41,No Fall
411050,1,1.02,0.08,98,No Fall
411250,1,1.51,-3.84,41,No Fall
411450,1,1.12,-3.81,50,No Fall
411650,1,0.75,-3.77,45,No Fall
411850,1,0.39,-3.7,74,No Fall
412050,1,0.84,0.06,60,No Fall
412250,1,1.3,-3.83,52,No Fall
412450,1,0.92,-3.79,61,No Fall
412650,1,0.66,-3.71,90,No Fall
412850,1,0.43,-3.62,40,No Fall
413050,1,0.88,0.04,53,No Fall
413250,1,1.33,-3.83,61,No Fall
413450,1,0.88,-3.78,61,No Fall
413650,1,0.62,-3.72,41,No Fall
413850,1,0.31,-3.66,52,No Fall
414050,1,1.5,-3.84,74,No Fall
414250,1,0.81,-1.26,72,No Fall
414450,1,0.63,-0.69,77,No Fall
414650,1,0.54,-0.43,54,No Fall
414850,1,0.51,-0.28,82,No Fall
415050,1,0.5,-0.21,56,No Fall
415250,1,0.48,-0.16,79,No Fall
415450,1,0.53,0.1,78,No Fall
415650,1,0.57,0.04,78,No Fall
415850,1,0.62,0.1,63,No Fall
416050,1,0.67,0.09,71,No Fall
416250,1,0.71,0.07,69,No Fall
416450,1,0.76,0.15,74,No Fall
416650,1,0.77,0.09,47,No Fall
416850,1,0.78,0.08,63,Fall
417050,1,0.79,0.0,41,Fall
417250,1,0.9,-1.24,41,Fall
417450,1,0.77,-1.57,65,Fall
417650,1,0.52,-2.06,45,Fall
417850,1,0.3,-2.61,58,Fall
418050,1,0.8,0.08,67,Fall
418250,1,1.3,-3.83,40,Fall
418450,1,0.93,-3.79,50,No Fall
418650,1,0.56,-3.74,52,No Fall
418850,1,0.84,0.04,61,No Fall
419050,1,1.12,-3.84,65,No Fall
419250,1,0.99,-3.78,40,No Fall
419450,1,0.46,-3.76,40,No Fall
419650,1,0.37,-3.64,41,No Fall
419850,1,0.5,0.05,57,No Fall
420050,1,0.62,0.05,95,Fall
420250,1,0.75,0.0,55,Fall
420450,1,0.75,-0.04,68,Fall
420650,1,0.95,-0.06,46,Fall
420850,1,0.91,-0.09,53,Fall
421050,1,0.91,0.02,76,Fall
421250,1,0.9,0.09,80,Fall
421450,1,0.9,0.03,71,Fall
421650,1,0.9,0.09,73,No Fall
421850,1,0.9,0.1,72,No Fall
422050,1,0.89,0.09,84,No Fall
422250,1,0.89,-1.86,64,No Fall
422450,1,0.83,-2.51,40,No Fall
